sentences,aspects,polarity,sentences,aspects,polarity,sentences,aspects,polarity,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity
Being a PC user my whole life....,,,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,GRAPHICS#GENERAL,positive
the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive,,,,,
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",,,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive,LAPTOP#QUALITY,positive
Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative,Not easy to carry.,LAPTOP#PORTABILITY,negative,The battery has never worked well.,BATTERY#QUALITY,negative,BATTERY#OPERATION_PERFORMANCE,negative
"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral,I have not have any problems.,LAPTOP#GENERAL,positive,,
"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive,Its still going.,LAPTOP#QUALITY,positive,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive,,
"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,,,,,,,,
This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral,,
"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative,"Yes, I have it on the highest available setting.",,,,,,,
I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive,Easy to start up and does not overheat as much as other laptops.,,,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive,,,,,
"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive,Love that it doesn't take up space like a regular computer.,,,,,,,
I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive,,
"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive,,,,,
It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral,I'm very happy with this machine!,LAPTOP#GENERAL,positive,,,,,
"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive,I don't really have a complaint.,LAPTOP#GENERAL,positive,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive,Perfect trifecta!,LAPTOP#GENERAL,positive,,
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative,,,,,,,,,,,
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral,I purchased this laptop 9 months ago!,,,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative,,
"So far, a great product.",LAPTOP#GENERAL,positive,"High price tag, however.",LAPTOP#PRICE,negative,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral,,,,,
it is the worst computer dell ever made.,LAPTOP#GENERAL,negative,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative,breaks easily.,LAPTOP#QUALITY,negative,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive,,
There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive,The #1 reason that is always repeated.,,,No Viruses!,LAPTOP#QUALITY,positive,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP#USABILITY,positive
This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative,Acer won't replace the laptop.,SUPPORT#QUALITY,negative,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative,This thing is a lemon.,LAPTOP#QUALITY,negative,,
This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral,,
I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,,,I have owned it only two months!,,,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative,,
It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative,,,,,
Like the price and operation.,LAPTOP#PRICE,positive,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive,,,,,
I absolutely love my mac!,LAPTOP#GENERAL,positive,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive,It's perfect for everything and runs faster than an average pc!,,,,,,,
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative,,
I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative,I sent it to them to fix in perfect condition but for what was wrong with it.,,,,
I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative,I've been a PC user and I just finally switched and I am never going back.,,,,
In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative,,
Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive,Much faster than my old windows laptop that died on me.,,,It is easy to use and lightweight.,LAPTOP#USABILITY,positive,Was very much worth the price i paid.,LAPTOP#GENERAL,positive,LAPTOP#PRICE,positive
This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative,I am also upset with CR for giving a good rating.,,,,,,,
I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,,,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative,LAPTOP#OPERATION_PERFORMANCE,negative
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive,To my mind much more usable than the toy called an IPad.,,,,,,,,,,
The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative,Do notÂ  buy it!,LAPTOP#GENERAL,negative,It is the worst laptop ever,LAPTOP#GENERAL,negative,,,,,
"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive,i love ths notebook.,LAPTOP#GENERAL,positive,,,,,,,,
I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive,Easy learning curve.,LAPTOP#USABILITY,positive,Also the display is exceptional!,DISPLAY#GENERAL,positive,,,,,
I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive,,,,,
Small and light weight.,LAPTOP#DESIGN_FEATURES,positive,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive,I like it!,LAPTOP#GENERAL,positive,,
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive,,,,,,,,,,,
"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative,,,,,,,,,,,
This is a great machine!,LAPTOP#GENERAL,positive,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive,,,,,,,,
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive,,,,,,,,,,,
It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive,,,,,,,,,,,
Consumer Report recommended Toshiba.,,,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive,,,,,,,,
Very good quality and well made.,LAPTOP#QUALITY,positive,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive,,,,,
The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative,,,,,,,,,,,
"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative,"Overall, it's ok.",LAPTOP#GENERAL,neutral,,
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative,Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative,LAPTOP#GENERAL,positive
Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative,Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative,May be better for the occasional web surfer.,LAPTOP#MISCELLANEOUS,neutral,,,,,
"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive,I really wanted a Mac over a pc because I used a Mac in high school.,,,It is so much easier to use,LAPTOP#USABILITY,positive,,,,,
"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive,And Toshiba is a quality supplier.,SUPPORT#QUALITY,positive,,,,,,,,
I love this little one.,LAPTOP#GENERAL,positive,The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive,I like it better than my big Dell Laptop.,,,Seriously considering a larger laptop to replace the Dell,,,,
great battery life.,BATTERY#OPERATION_PERFORMANCE,positive,Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive,Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative,Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative,,
"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative,but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive,,,,,
Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive,,,,,,,,,,,
A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,LAPTOP#MISCELLANEOUS,neutral,"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive,Very happy.,LAPTOP#GENERAL,positive,,
"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",,,so we got a good deal on hsn for an ascer notebook and we bought it for him.,,,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#GENERAL,positive,now he mows yards so he can earn the money for the wireless internet.,,,,
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,LAPTOP#MISCELLANEOUS,negative,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",LAPTOP#MISCELLANEOUS,negative,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",LAPTOP#GENERAL,positive,,,,,
It's fast and has excellent battery life.,LAPTOP#OPERATION_PERFORMANCE,positive,The screen shows great colors.,DISPLAY#QUALITY,positive,,,,,,,,
I was surprised with the performance and quality of this HP Laptop.,LAPTOP#OPERATION_PERFORMANCE,positive,the speed is fine.,LAPTOP#OPERATION_PERFORMANCE,positive,Laptop is to be used like a Netbook.,,,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",DISPLAY#DESIGN_FEATURES,positive,LAPTOP#CONNECTIVITY,positive
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",LAPTOP#GENERAL,positive,,,,,,,,,,,
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,BATTERY#OPERATION_PERFORMANCE,negative,,,,,,,,,,,
This computer is the ideal college companion.,LAPTOP#MISCELLANEOUS,positive,It's software and speed enable it to do amazing things.,LAPTOP#OPERATION_PERFORMANCE,positive,,,,,,,,
I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative,"A cheaper price should not equal a ""cheap"" product.",LAPTOP#PRICE,neutral,It was over rated!,LAPTOP#GENERAL,negative,,,,,
The Toshiba laptop was a great purchase.,LAPTOP#GENERAL,positive,"The price was very good, and the product is top quality.",LAPTOP#PRICE,positive,"The delivery was fast, and I would not hesitate to purchase this laptop again.",SHIPPING#QUALITY,positive,,,,,
"This is my second laptop,and it is head and shoulders above my first.",,,It has easy to use features and all the speed and power I could ask for.,LAPTOP#USABILITY,positive,True quality at a great price!,LAPTOP#QUALITY,positive,,,,,
I have used a computer at work but having your own personal laptop is AWSOME!,,,I am enjoying it and the quality it provides is great!,LAPTOP#GENERAL,positive,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",COMPANY#GENERAL,positive,,,,,
"This is the first laptop I've owned, althougth I used several at my previous job.",,,"The screen graphics and clarity, and sharpness are great.",DISPLAY#QUALITY,positive,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,LAPTOP#GENERAL,positive,,,,,
I like the laptop overall.,LAPTOP#GENERAL,positive,The only thing i can say is that the touch pad doesnt work like it should all the time.,MOUSE#OPERATION_PERFORMANCE,negative,Sometimes you really have to tap the pad to get it to work,MOUSE#OPERATION_PERFORMANCE,negative,,,,,
This is a great little computer for the price.,LAPTOP#GENERAL,positive,"Simple to use, and great graphics.",LAPTOP#USABILITY,positive,It has everything I would need for a home computer.,LAPTOP#MISCELLANEOUS,positive,I'm very impressed.,LAPTOP#GENERAL,positive,,
It was secure and easy to navigate.,LAPTOP#QUALITY,positive,It is everything that I would want in a computer.,LAPTOP#GENERAL,positive,"Besides the great look, it is a great machine.",LAPTOP#DESIGN_FEATURES,positive,I would definitely not go back to using a PC after using the mac.,,,,
"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",LAPTOP#GENERAL,positive,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",LAPTOP#USABILITY,positive,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",LAPTOP#CONNECTIVITY,positive,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",LAPTOP#DESIGN_FEATURES,positive,LAPTOP#USABILITY,positive
This laptop serves all my needs.,LAPTOP#GENERAL,positive,Screen size is perfect for portable use in any environment.,DISPLAY#DESIGN_FEATURES,positive,Price and purpose is awesome!,LAPTOP#PRICE,positive,,,,,
I have been very pleased with the performance of this laptop.,LAPTOP#OPERATION_PERFORMANCE,positive,"The battery life seems to be very good, and have had no issues with it.",BATTERY#OPERATION_PERFORMANCE,positive,Great product.,LAPTOP#GENERAL,positive,,,,,
The laptop was very easy to set up.,LAPTOP#USABILITY,positive,I did not have to call the support line at all.,,,Everything was so easy.,LAPTOP#USABILITY,positive,,,,,
I purchased two laptops (for my husband and 16 year old daughter).,,,"My husband uses it mostly for games, email and music.",,,"My daughter uses it for games, email, facebook, pictures and music.",,,They were able to set-up with labtops themselves within a few minutes.,LAPTOP#USABILITY,positive,,
"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,,,,,,,,
Purchased as a gift for a friend.,,,The service I received from Toshiba went above and beyond the call of duty.,SUPPORT#QUALITY,positive,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",LAPTOP#OPERATION_PERFORMANCE,positive,It is extremely portable and easily connects to WIFI at the library and elsewhere.,LAPTOP#PORTABILITY,positive,LAPTOP#CONNECTIVITY,positive
2nd Mac book I have purchased from MacConnection.,,,I cannot be happier with the service or product.,SUPPORT#GENERAL,positive,,,,,,,,
power supply went bad after 2 weeks --,POWER_SUPPLY#QUALITY,negative,after much effort and 10 days ASUS replaced it,SUPPORT#QUALITY,negative,The WiFi is very weak.,LAPTOP#CONNECTIVITY,negative,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",,,,
This is a nicely sized laptop with lots of processing power and long battery life.,LAPTOP#DESIGN_FEATURES,positive,Love it so far.,LAPTOP#GENERAL,positive,,,,,,,,
The Toshiba Net book operates very well.,LAPTOP#OPERATION_PERFORMANCE,positive,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,OS#MISCELLANEOUS,negative,,,,,,,,
"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",LAPTOP#GENERAL,positive,"The touchpad is extremely sensitive, which is the only drawback.",MOUSE#OPERATION_PERFORMANCE,negative,"Otherwise, I love it!",LAPTOP#GENERAL,positive,,,,,
I shopped around before buying.,,,I wasn't really sure I wanted to spend that kind of money!,LAPTOP#PRICE,negative,It Was a great deal after all.,LAPTOP#GENERAL,positive,I LOVE it!,LAPTOP#GENERAL,positive,,
