sentences,aspects,polarity,sentences,aspects,polarity,sentences,aspects,polarity,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity
Shiny,LAPTOP#GENERAL,positive,This Laptop is the Best of the best!,LAPTOP#GENERAL,positive,The Awesomest of the awesomest.,LAPTOP#GENERAL,positive,"It is so great, I can Hardly ever take my hands off it!",LAPTOP#GENERAL,positive,,
"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201",LAPTOP#QUALITY,negative,Ive had to call tech support many times.,LAPTOP#QUALITY,negative,Each time taking about 1 day or so.,SUPPORT#QUALITY,negative,I just recently had to ship my laptop back to HP for repair.,,,,
One of the smartest thing I did was take my time to compare laptops before making my purchase.,,,The Toshiba Satellite has been more than I expected for the price.,LAPTOP#GENERAL,positive,I will stack it up against laptops that cost twice as much any day.,,,,,,,
THis computer may be small but it is one heck of a power horse.,LAPTOP#OPERATION_PERFORMANCE,positive,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,LAPTOP#GENERAL,positive,for being so small it is amazing that it is as fast as it is.,LAPTOP#DESIGN_FEATURES,neutral,when i first got it i thought the size of it was a joke.,LAPTOP#DESIGN_FEATURES,neutral,,
"i would never go back any more, i love this computer so much and i would recommend it to everyone.",,,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",LAPTOP#OPERATION_PERFORMANCE,positive,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",LAPTOP#QUALITY,positive,this computer is a little more expensive than any pc but it will last you longer and it worth every penny.,,,,
Not working = bad,LAPTOP#OPERATION_PERFORMANCE,negative,"I spent 2200 dollars on a ""top of the line laptop"".",LAPTOP#PRICE,negative,I got the blue screen of death the first month I got it.,LAPTOP#OPERATION_PERFORMANCE,negative,"1) Payed $2200 for a ""premium"" laptop",LAPTOP#PRICE,negative,LAPTOP#QUALITY,negative
I'm new - just switched from years of PC frustration.,,,"what an elegant, wonderful machine.",LAPTOP#DESIGN_FEATURES,positive,"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.",LAPTOP#GENERAL,positive,I really wish I had done this years ago.,LAPTOP#GENERAL,positive,,
"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",LAPTOP#GENERAL,negative,The computer blinks it shuts off at will.,LAPTOP#OPERATION_PERFORMANCE,negative,The letter A stopped working after the first week.,KEYBOARD#QUALITY,negative,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,SUPPORT#QUALITY,negative,,
I had this computer for one month and had to send it in for repair.,LAPTOP#QUALITY,negative,Got the computer back a month later and it was still broken sent it out again and they repaired it.,SUPPORT#QUALITY,negative,3 weeks went by and the computer keeps crashing and will not open any applications.,SUPPORT#QUALITY,negative,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,SUPPORT#QUALITY,negative,COMPANY#GENERAL,negative
I have had this laptop for a few months now and i would say im pretty satisfied.,LAPTOP#GENERAL,positive,The only problems are the sound isnt very loud I have to wear headphones.,MULTIMEDIA_DEVICES#QUALITY,negative,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,MOUSE#QUALITY,negative,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,SUPPORT#PRICE,negative,SUPPORT#QUALITY,negative
I received this laptop as a gift and let me just tell you that its the worst.,LAPTOP#GENERAL,negative,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,LAPTOP#QUALITY,negative,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,LAPTOP#MISCELLANEOUS,negative,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,LAPTOP#MISCELLANEOUS,negative,,
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,LAPTOP#GENERAL,negative,"The computer is so slow, even after paying staples the extra money to speed it up.",LAPTOP#OPERATION_PERFORMANCE,negative,They said it was a computer error on this type of computer.,LAPTOP#MISCELLANEOUS,negative,"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",LAPTOP#QUALITY,negative,,
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,LAPTOP#QUALITY,neutral,After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,HARD_DISC#QUALITY,negative,"Before we got this laptop, hadÂ aÂ compaq pasaroÂ for 5 years with no problems.",,,After the bad experience with this computer went back to compaq.,,,,
I hate it.,LAPTOP#GENERAL,negative,I have had the luxury (sarcasm) of owning 2 of these laptops.,LAPTOP#GENERAL,negative,The first fell apart right after the 1-year-warranty.,LAPTOP#QUALITY,negative,"During that time, I had to send it back 3 times.",LAPTOP#QUALITY,negative,,
bought notebook 07/2009.,,,in 5 months the connect quality got worse and worse.,LAPTOP#CONNECTIVITY,negative,1st time they got it working the next 5 month they had me send it in.,SUPPORT#QUALITY,negative,returned it.,LAPTOP#GENERAL,negative,,
I bought this laptop the moment unibody product came to the market.,,,"I also bought one for my wife, and 3 for my office.",,,"They are wonderful, but very dangerous when it comes to emitting heat.",LAPTOP#GENERAL,positive,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",LAPTOP#QUALITY,negative,,
I had meant to purchase the NB205 and bought this one by accident (long story).,,,"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",LAPTOP#DESIGN_FEATURES,neutral,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,HARD_DISC#QUALITY,negative,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",SUPPORT#QUALITY,positive,,
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",,,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,SUPPORT#QUALITY,negative,Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date.,,,"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",,,,
"This laptop leaves alot to be desired, I have had it only 5 months and have had to send it away to be repaired twice...",LAPTOP#GENERAL,negative,"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",SOFTWARE#GENERAL,negative,If you shop around in the current market you can find a much better deal.,LAPTOP#GENERAL,negative,"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",SUPPORT#QUALITY,positive,SHIPPING#QUALITY,negative
Unable to boot up this brand new laptop.,LAPTOP#QUALITY,negative,Spent 2 hours on phone with HP Technical Support.,SUPPORT#QUALITY,negative,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",SUPPORT#QUALITY,negative,They are asking me to ship the unit back to fix it at their site.,SUPPORT#QUALITY,neutral,,
This computer had exactly the specifications I needed.,LAPTOP#DESIGN_FEATURES,positive,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",LAPTOP#DESIGN_FEATURES,positive,The perfect notebook...,LAPTOP#GENERAL,positive,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,LAPTOP#OPERATION_PERFORMANCE,negative,,
"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",SUPPORT#QUALITY,negative,I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,SUPPORT#QUALITY,negative,"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",POWER_SUPPLY#QUALITY,negative,"Call tech support, standard email the form and fax it back in to us.",,,,
Our Apple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.,LAPTOP#MISCELLANEOUS,positive,"I do everything on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.",LAPTOP#GENERAL,positive,"It pretty much does everything we could ever need, and looks great to boot.",LAPTOP#OPERATION_PERFORMANCE,positive,"Apple is always great about the aesthetics of things, they always come up with good looking products.",LAPTOP#DESIGN_FEATURES,positive,COMPANY#GENERAL,positive
"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",,,"The 13"" MacBook Pro is portable, durable, and very capable.",LAPTOP#QUALITY,positive,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",BATTERY#OPERATION_PERFORMANCE,positive,"It's also very energy efficient, running on a quarter of the power it takes to run a 60 Watt lightbulb.",LAPTOP#OPERATION_PERFORMANCE,positive,,
Me and my boyfriend bought the Gateway NV78 in nov of 09.,,,Bought with a credit card.,,,Probbly the worst decision we ever made!,LAPTOP#GENERAL,negative,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,KEYBOARD#QUALITY,negative,HARD_DISC#QUALITY,negative
"First, it does not have a push button to open the lid.",LAPTOP#DESIGN_FEATURES,negative,It is held in place magnetically.,LAPTOP#DESIGN_FEATURES,neutral,There is a little indent to help open it - but good luck with that.,LAPTOP#DESIGN_FEATURES,neutral,"Once open, the leading edge is razor sharp.",LAPTOP#DESIGN_FEATURES,negative,,
"This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.",,,But the screen size is not that bad for email and web browsing.,DISPLAY#DESIGN_FEATURES,neutral,I like this machine because its very lightweight...,LAPTOP#DESIGN_FEATURES,positive,very convenient when you travel and the battery life is excellent...,BATTERY#OPERATION_PERFORMANCE,positive,LAPTOP#PORTABILITY,positive
"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",,,"It crashes, and when it goes flat, it just DIES (like a PC, maybe worse) and I loose all my open documents!",LAPTOP#OPERATION_PERFORMANCE,negative,I Hate it!,LAPTOP#GENERAL,negative,,,,,
It is the easiest computer I have ever used,LAPTOP#USABILITY,positive,I have had some excellent computer and have found I had no idea what to do with them,,,"I saw this one, and I have the most difficult time trying to use them, they've made great dust collectors, I hate putting this computer down",,,I LOVE IT!,LAPTOP#GENERAL,positive,,
It's A MAC!!,LAPTOP#GENERAL,positive,"I fine Apple MC373LL/A 2.66GHz 15"" Macboook Pro Notebook meets all my needs for a laptop computer when on the go.",LAPTOP#GENERAL,positive,I like to use it at the race track to handiecap the horse races.,LAPTOP#MISCELLANEOUS,positive,It's face and depanable.,LAPTOP#QUALITY,positive,,
very very slow laptop.,LAPTOP#OPERATION_PERFORMANCE,negative,tons of bloatware and junk programs.,LAPTOP#DESIGN_FEATURES,negative,can't reinstall with standard os cd because of proprietary hardware drivers.,LAPTOP#USABILITY,negative,keys are all in weird places and is way too large for the way it is designed.,KEYBOARD#DESIGN_FEATURES,negative,LAPTOP#DESIGN_FEATURES,negative
Amazing machine.,LAPTOP#GENERAL,positive,"It is a big big, but since it has a 18.4"" screen what would you expect!",LAPTOP#DESIGN_FEATURES,neutral,It is truly a Desktop Replacement.,LAPTOP#MISCELLANEOUS,positive,Very fast and efficient!,LAPTOP#OPERATION_PERFORMANCE,positive,,
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",MOUSE#USABILITY,positive,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",,,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",SOFTWARE#GENERAL,positive,I especially appreciate the fact that it has almost zero viruses and spyware problems!,LAPTOP#QUALITY,positive,,
I never have had a good result with this computer.,LAPTOP#GENERAL,negative,"I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",LAPTOP#QUALITY,negative,"They told me it was my loss even though it was the computer, not  what I've done.",SUPPORT#QUALITY,negative,"The hard drive crashed as well, and I had to buy a new  power cord.",HARD_DISC#QUALITY,negative,POWER_SUPPLY#QUALITY,negative
I just bought this laptop 3 days ago.,,,The right speaker did not work.,MULTIMEDIA_DEVICES#QUALITY,negative,I took it back to the store and exchanged it for another one.,,,"Again, the same problem, the right speaker did not work.",MULTIMEDIA_DEVICES#QUALITY,negative,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative
the mouse pad and buttons are the worst i've ever seen.,MOUSE#GENERAL,negative,sometimes you will be moving your finger and the pointer will not even move.,MOUSE#OPERATION_PERFORMANCE,negative,the mouse buttons are hard to push.,MOUSE#USABILITY,negative,i cant believe HP put this out.,COMPANY#GENERAL,negative,LAPTOP#GENERAL,negative
dell is a decently made pc.,LAPTOP#GENERAL,neutral,although its windows vista compared to windows xp sucks.,,,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,GRAPHICS#GENERAL,negative,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,LAPTOP#DESIGN_FEATURES,negative,LAPTOP#USABILITY,negative
"I love HP,, it's the only computer/printer we will buy.",COMPANY#GENERAL,positive,Got this for a graduation gift for my daughter for her to use at college.,,,This is perfect for her field.,LAPTOP#MISCELLANEOUS,positive,,,,,
"At first when I got this product, I loved it.",LAPTOP#GENERAL,positive,"The computer itself was fast, ran smoothly, and had no problems.",LAPTOP#OPERATION_PERFORMANCE,positive,"Then, within 5 months, the charger crapped out on me.",POWER_SUPPLY#QUALITY,negative,"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",SUPPORT#QUALITY,negative,,
Strengths:Well-shaped,LAPTOP#DESIGN_FEATURES,positive,Weaknesses:A bad videocard!,GRAPHICS#GENERAL,negative,"Posted Nov 8, 2010 -",,,Two weeks ago I bought this notebook.,,,,
An absolutely hateful machine that no one should get of their own free will.,LAPTOP#GENERAL,negative,I just can't fathom that the celebrated Dell would last a week in environment of free competition with normal products - it only survives b/c its substandard laptops are forced onto captive students and employees through question-raising programs.,,,"Mine came at $1,700 w/o a DVD burner (!).",LAPTOP#DESIGN_FEATURES,negative,Enough said.,,,,
I'm glad I made the choice to switch and buy this MAC.,LAPTOP#GENERAL,positive,The benefits were immediate!,LAPTOP#GENERAL,positive,Awesome graphics!,GRAPHICS#GENERAL,positive,Applications respond immediately (not like the tired MS applications).,,,,
I previously owned an HP desktop and a Dell laptop.,,,Both computers started acting extremely slow within the first year of owning them.,,,"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.",LAPTOP#GENERAL,positive,I especially like the backlit keyboard.,KEYBOARD#DESIGN_FEATURES,positive,,
My hp G60-244dx died after only 16 months.,LAPTOP#QUALITY,negative,It started out getting hot after only a few months.,LAPTOP#QUALITY,negative,I should have sent it back to them then.,,,At 16 months it started shutting off after only 5 or 10 minutes.,LAPTOP#OPERATION_PERFORMANCE,negative,,
I will have to say that I love my MacBook Pro!,LAPTOP#GENERAL,positive,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,LAPTOP#OPERATION_PERFORMANCE,positive,I have used different laptops in the past and I have to rate this one way above the rest.,,,This is now my 3rd MacBook Pro and I really honestly love it!,LAPTOP#GENERAL,positive,,
I have had my new Macbook Pro i5 for a couple of days and have recycled ALL of my old PC laptops.,,,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,LAPTOP#USABILITY,positive,"Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations.",,,"Buy it, love it, and I promise you won't regret it.",LAPTOP#GENERAL,positive,,
This computer is good for 10 days then it sucks for the rest of your life.,LAPTOP#QUALITY,negative,"Don't waste their money, save it and but a mac.",,,You will regret it if you buy any dell.,COMPANY#GENERAL,negative,Dell sucks,COMPANY#GENERAL,negative,,
The only pro to this computer is it was under $600!,LAPTOP#GENERAL,negative,Everything is falling apart internally and externally.,LAPTOP#QUALITY,negative,"I am not much of a computer techie, so I can understand some ofÂ the internal problems, though I do have trend micro as an antiviral program.",,,With in weeks of purchasing my computer is began to slow down.,LAPTOP#QUALITY,negative,LAPTOP#OPERATION_PERFORMANCE,negative
I bought this laptop on Saturday and am completely in love with it!,LAPTOP#GENERAL,positive,It was super easy to set up and Is really easy to get used to.,LAPTOP#USABILITY,positive,The online tutorial videos make it super easy to learn if you have always used a PC.,LAPTOP#USABILITY,positive,I now travel with this laptop and my work PC.,,,,
"Never any doubt I would get a MacBook, just wasn't sure which one.",,,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",,,The performance is awesome.,LAPTOP#OPERATION_PERFORMANCE,positive,I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.,LAPTOP#GENERAL,positive,LAPTOP#PRICE,positive
"With all the goodies inside this machine, it is a value.",LAPTOP#DESIGN_FEATURES,positive,It is very well built.,LAPTOP#QUALITY,positive,The keyboard is top notch.,KEYBOARD#QUALITY,positive,The touch pad is among the best.,MOUSE#GENERAL,positive,,
I got the black MacBook two years ago and have never regretted it.,LAPTOP#GENERAL,positive,It was a hard decision for me since the MacBook Pro looked so appealing.,,,"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",,,So this was great for me.,LAPTOP#GENERAL,positive,,
I bought this laptop about a month ago to replace my compaq laptop.,,,I paid about the same for my Toshiba as I did for the compaq a few years back.,,,The difference is the Toshiba had a lot more memory and hard drive space.,MEMORY#DESIGN_FEATURES,positive,It's super fast and a great value for the price!,LAPTOP#GENERAL,positive,LAPTOP#OPERATION_PERFORMANCE,positive
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",,,Bought this gateway M-50 or 150 early 2007.,,,"A MONTH LATER, we reinstall the OS (Vista).",OS#QUALITY,negative,"A coupla months later, they change my hard drive.",HARD_DISC#QUALITY,negative,,
"I initially purchased my Macbook Pro 13"" in April, and I loved it.",LAPTOP#GENERAL,positive,I had never owned a Mac before;,,,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,,,I was so happy with my new Mac.,LAPTOP#GENERAL,negative,,
"Great battery, speed, display.",BATTERY#GENERAL,positive,It WORKS!,LAPTOP#OPERATION_PERFORMANCE,positive,I always swore by PCs and would never consider a MAC.,,,"As it turns out, I just didn't know any better.",,,,
I thought the price was great for the specs.,LAPTOP#PRICE,positive,"But after using it a couple of weeks, the overall operation is poor.",LAPTOP#OPERATION_PERFORMANCE,negative,I hate the display screen and I have done everything I could do the change it.,DISPLAY#GENERAL,negative,The keyboard is too slick.,KEYBOARD#QUALITY,negative,,
Dell Latitude d620 is not a reliable machine.,LAPTOP#QUALITY,negative,"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",BATTERY#OPERATION_PERFORMANCE,negative,Later it held zero charge and its replacement worked for less than three months.,BATTERY#QUALITY,negative,The machine is slow to boot up and occasionally crashes completely.,LAPTOP#OPERATION_PERFORMANCE,negative,,
This is the first Apple product that I have purchased.,,,VERY disappointing:,LAPTOP#GENERAL,negative,I was not aware that this product cannot display websites that contain Flash.,LAPTOP#DESIGN_FEATURES,negative,About 1/2 of the sites I need to visit because of my work contain some type of Flash.,,,,
"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",LAPTOP#GENERAL,positive,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.,LAPTOP#CONNECTIVITY,negative,Eventually the screen went blank and the computer would not turn on.,DISPLAY#OPERATION_PERFORMANCE,negative,HP said it was out of warranty.,,,,
My MacBook is probably the best investment I have ever made.,LAPTOP#GENERAL,positive,I have had it for almost four years now and I have only had a few problems with it.,LAPTOP#QUALITY,positive,"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",SOFTWARE#OPERATION_PERFORMANCE,negative,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",,,,
